#META,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,
StrangeCoin_1,이상한 동전 - 1,0,,,,,,
,,,,,,,,
#TRIGGER,,,,,,,,
minDay,requiredFlags,blockedFlags,prerequisiteEpisodeIds,requiredVars,,,,
0,,,,,,,,
,,,,,,,,
#OPENING_CHARS,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,
f54,mid,2,,,,,,
,,,,,,,,
#NODES,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,nextNodeIdGood,nextNodeIdBad
0,f54,,좋은 저녁! 펍은 좀 어때?,1,FALSE,,,
1,shaun,,어서 와. 한결같지. 다행히도.,2,FALSE,,,
2,f54,,헤헤. 그거 다행이네.,3,FALSE,,,
3,f54,,<b>5번가</b>에서 일이 있어서 처리하고 오느라 늦었어.,4,FALSE,,,
4,shaun,,<b>5번가</b>?,5,FALSE,,,
5,f54,,"응. 너야 펍에만 있어서 모르겠지만, 웬만하면 거긴 가지 마.",6,FALSE,,,
6,f54,,"스캐빈저, 약쟁이들 소굴이야. <b>UPD</b>가 5번가를 통째로 쓸어버리지 않는 게 더 이상할 정도야.",7,FALSE,,,
7,f54,,"아무튼, 손님 불렀으면 술 한잔은 내줘야지. 위스키 한잔!",8,FALSE,,,
8,shaun,,너 아직 근무 중인 거 아니야?,9,FALSE,,,
9,f54,,상관 없잖아! 한 시간 남았는데 그사이에 일이라도 터지겠어?,10,FALSE,,,
10,,,,,TRUE,sc1_f54,10-1-1,10-2-1
10-1-1,f54,,음. 늘 최고라니까.,11,FALSE,,,
10-2-1,f54,,흠.. 오늘은 살짝 아쉽네?,11,FALSE,,,
11,f54,,"그래서 말이야, 무슨 일로 부른 거야? 심각한 일은 아니지?",12,FALSE,,,
12,shaun,,혹시 말이야… 이 <b>동전</b>에 대해서 좀 알아?,13,FALSE,,,
13,f54,,...,14,FALSE,,,
14,f54,,이거 어디서 난 거야?,15,FALSE,,,
15,shaun,,"얼마 전에 웬 경찰 손님이 이 동전으로 술값을 냈는데, 아무래도 이상해서.",16,FALSE,,,
16,f54,,"그래서, 이걸 받고 술을 내준 거야?",17,FALSE,,,
17,shaun,,워낙 바쁜 시간대여서 이것저것 따질 겨를이 없었어. 게다가 경찰이었다고.,18,FALSE,,,
18,shaun,,거절하면 무슨 짓을 당할지 뻔하니까…,19,FALSE,,,
19,f54,,흠…,20,FALSE,,,
20,f54,,잘 들어. 이건 <b>아무개들</b>이 쓰는 동전이야.,21,FALSE,,,
21,f54,,5번가 깡패놈들이 쓰는 불법 화폐라고.,22,FALSE,,,
22,f54,,"너야 몰랐겠지만, 이 동전을 받았다는 것만으로도 문제가 될 수 있어.",23,FALSE,,,
23,shaun,,"잠깐, 뭐라고?",24,FALSE,,,
24,f54,,진정해. 난 네 편이니까.,25,FALSE,,,
25,f54,,이런 거야 적당히 내 선에서 처리할 수 있는데 문제는…,26,FALSE,,,
26,shaun,,문제는…?,27,FALSE,,,
27,f54,,"<b>UPD</b> 소속이 이걸로 술값을 냈다고? 션, 그 인간 얼굴 기억해?",28,FALSE,,,
28,shaun,,낭인족이었어. 꽤 능글맞은 인상이었는데... 이름은 모르겠고.,29,FALSE,,,
29,f54,,"제정신이 아니네. 이 <b>동전</b>이 여기 있다는 건, 우리 내부의 쥐새끼가 이 펍을 지들 뒷거래 장소로 찍었다는 소리야. 내가 당장...",30,FALSE,,,
30,shaun,,어서오세… 아.,31,FALSE,,,
31,f54,,...,32,FALSE,,,
32,f72,???,"여어, 바텐더! 아직 영업 안 끝났지?",33,FALSE,,,
33,sally,???,...목소리 낮춰. 사람 없는 곳이라며.,34,FALSE,,,
34,f72,???,"에이, 셀리. 저번에 왔을 때 괜찮았다니까. 저번이랑 같은 걸로… (동전을 내밀며)",35,FALSE,,,
35,f72,???,"...어, 어라?",36,FALSE,,,
36,f54,,...F72? 너 지금 손에 든 거 뭐야? ,37,FALSE,,,
37,f54,,이 사람은 또 누구야?,38,FALSE,,,
38,sally,???,…다른 경찰이 있을 거란 얘기는 없었잖아! 우릴 팔아넘기기라도 하려는 거야?,39,FALSE,,,
39,f72,,"아, 아니야! 오해라고!",40,FALSE,,,
40,f54,,5번가 담당인데 이상하게 잘 버틴다 했어. 결국 아무개들 쪽에 붙어먹은 거야?,41,FALSE,,,
41,sally,???,손 떼.,42,FALSE,,,
42,shaun,,ㅈ..잠깐 뭐가 어떻게…,43,FALSE,,,
43,f72,,잠시만 둘 다 진정하시고…,44,FALSE,,,
44,f54,,이 동전을 쓰는건 명백한 규정 위반이야!,45,FALSE,,,
45,f72,,너야말로 근무 중에 매일 술 마시잖아!,46,FALSE,,,
46,f54,,ㄱ..그건!,47,FALSE,,,
47,f54,,곧 근무 끝나니까 그런 거야! 그리고 이 정도는 괜찮다고…,48,FALSE,,,
48,f54,,이거랑 그거랑 같아? 이건 말 그대로 <b>처분</b>감이야!,49,FALSE,,,
49,sally,???,72. 말만해. 쏴버릴 테니까.,50,FALSE,,,
50,f54,,잘 생각하는게 좋을거야. 여긴 5번가가 아니니까.,51,FALSE,,,
51,shaun,,<b>모두 그만하세요!</b>,52,FALSE,,,
52,f54,,...,53,FALSE,,,
53,f72,,...,54,FALSE,,,
54,shaun,,"F54, 부탁할게. 가게에서 싸우면 여러모로 곤란해져.",55,FALSE,,,
55,shaun,,그리고 낭인 경찰 씨! 당신도 잘한 거 하나 없으니까 가만히 계세요!,56,FALSE,,,
56,f72,,난 아무것도…,57,FALSE,,,
57,sally,???,…가까이 오지 마!,,FALSE,,,
58-1-1,shaun,,"손님, 당장 무기 안 집어넣으시면, 진짜 경찰 부를 거예요!",58-1-2,FALSE,,,
58-1-2,f54,,나도 진짜 경찰인데…,58-1-3,FALSE,,,
58-1-3,shaun,,잘 생각하세요! 여긴 9번가입니다!,58-1-4,FALSE,,,
58-1-4,f54,,...,58-1-5,FALSE,,,
58-1-5,sally,???,...다 당신 때문이야 72.,58-1-6,FALSE,,,
58-1-6,f72,,"자자, 동료끼리 너무 빡빡하게 굴지 말자고. ",58-1-7,FALSE,,,
58-1-7,f54,,닥쳐. 션을 봐서라도 넘어가 주는 거야. 허튼수작 부리면 상부에 보고해 버릴 테니까.,58-1-8,FALSE,,,
58-1-8,f72,,오늘은 그냥 서로 못 본 거로 하면 안 될까?,58-1-9,FALSE,,,
58-1-9,f72,,"나도 그냥... 퇴근하고 목이 좀 말랐을 뿐이야. 안 그래, <b>셀리</b>?",58-1-10,FALSE,,,
58-1-10,sally,,젠장 72. 밖에서 이름으로 부르지 말라고 몇 번을 말해.,58-1-11,FALSE,,,
58-1-11,sally,,...당신이랑 술 마실 생각 없어. 용건만 끝내고 나가지.,59,FALSE,,,
58-2-1,shaun,,오늘은 못 본 척해드릴테니 이쯤 하세요.,58-2-2,FALSE,,,
58-2-2,shaun,,일단 무기 먼저 내려놓으시고 다들 앉아보시죠.,58-2-3,FALSE,,,
58-2-3,f72,,"바텐더, 무슨 오해가 있는 모양인데, 우린 그저 술만 마시러 온 거야.",58-2-4,FALSE,,,
58-2-4,f72,,여기 <b>셀리</b>랑 나는 그.. 오랜 친구거든!,58-2-5,FALSE,,,
58-2-5,sally,,젠장 72. 밖에서 이름으로 부르지 말라고 몇 번을 말해.,58-2-6,FALSE,,,
58-2-6,f72,,그렇게 말하니까 더 수상해 보이잖아!,58-2-7,FALSE,,,
58-2-7,f54,,하! <b>그냥 술만 마시러 왔다고?</b> 그 <b>동전</b>으로? 수상해도 너무 수상하다는 생각 안 들어?,58-2-8,FALSE,,,
58-2-8,f72,,저..정말이야! 그렇지? 셀리?,58-2-9,FALSE,,,
58-2-9,sally,,...,58-2-10,FALSE,,,
58-2-10,sally,,그만해 72. 용건만 끝내고 나가지.,58-2-11,FALSE,,,
58-2-11,f72,,하! 셀리! 이러기야?,58-2-12,FALSE,,,
58-2-12,sally,,너 같은 멍청이랑 같이 있으면 항상 문제가 생겨.,58-2-13,FALSE,,,
58-2-13,f54,,틀린 말은 아니군.,58-2-14,FALSE,,,
58-2-14,f72,,동료끼리 너무 빡빡하게 굴지 말라고…,58-2-15,FALSE,,,
58-2-15,f54,,닥쳐. 션을 봐서라도 넘어가 주는거 야. 허튼수작 부리면 상부에 보고해 버릴 테니까.,59,FALSE,,,
59,shaun,,"F54, 너도 일단 앉아. 그럼, F72씨라고 했나요?",60,FALSE,,,
60,f72,,"맞아, 다들 그렇게 부르지.",61,FALSE,,,
61,shaun,,그럼 우선 저번에 시키신 걸로 드리겠습니다.,62,FALSE,,,
62,f72,,아하! 역시 바텐더랑은 말이 통할 것 같았다니까.,,FALSE,,,
63-1-1,shaun,,공식 화폐로 주시죠. 대신 두 배로 받겠습니다.,63-1-2,FALSE,,,
63-1-2,f72,,뭐? 그건 너무하잖아! 이것도 돈이라고!,63-1-3,FALSE,,,
63-1-3,shaun,,펍에서 소란 피운 값입니다.,64,FALSE,,,
63-2-1,shaun,,네. 대신 두 배로 주시죠.,63-2-2,FALSE,,,
63-2-2,f72,,뭐? 그건 너무하잖아!,63-2-3,FALSE,,,
63-2-3,shaun,,펍에서 소란 피운 값입니다.,63-2-4,FALSE,,,
63-2-4,f54,,난 모른다. 뒷감당은 네가 해라.,64,FALSE,,,
64,,,,,TRUE,sc1_f72,64-1-1,64-2-1
64-1-1,f72,,"허, 그래도 돈 아까운 맛은 아니란 말이지.",65,FALSE,,,
64-2-1,f72,,으악… 일부러 이런 거 주는 거야?,64-2-2,FALSE,,,
64-2-2,f54,,꼴 좋네,65,FALSE,,,
65,f54,,"그래서, 여긴 진짜로 왜 온 거야?",66,FALSE,,,
66,f72,,듣고서 아까처럼 화내지 않기로 약속하면 말해줄게.,67,FALSE,,,
67,f54,,"이건 뭐, 내가 잘못이라도 했나? 경찰이 좀도둑들이랑 어울리는 주제에!",68,FALSE,,,
68,f72,,<b>아아-</b> 거기까지!,69,FALSE,,,
69,f72,,보는 눈이 많아서 조용히 만날 공간이 필요했을 뿐이야.,70,FALSE,,,
70,f54,,"미안한데, 여긴 내 소중한 아지트거든? 눈독을 들이지 말라고.",71,FALSE,,,
71,f54,,그런 만남은 네 관할인 5번가에서 하지 그래? 거기야말로 UPD 사각지대잖아?,72,FALSE,,,
72,f72,,피해야 할 놈들이 UPD뿐만이 아니니까 그러지.,73,FALSE,,,
73,f72,,서로를 위해 조용히 처리하는 게 좋아.,74,FALSE,,,
74,f54,,처리?,75,FALSE,,,
75,f72,,"오해하지는 말라고, 사건 수습. 난 거기까지만 관여해.",76,FALSE,,,
76,f72,,왜 5번가 치안이 그 모양인데 내가 멀쩡히 근무 중인지 알아? 보고서에 올리는 범죄율은 낮으니까 그래.,77,FALSE,,,
77,f72,,"범죄 시간, 위치 등을 미리 알 수 있으니까 보고에 안 올라가게 카메라 끄고, 순찰 인원 빼는 거지. ",78,FALSE,,,
78,f54,,자랑이냐? 뒷돈이나 받아먹으면서 당당하기는.,79,FALSE,,,
