#META,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,
StrangeCoin_3,이상한 동전 - 3,0,,,,,,
,,,,,,,,
#TRIGGER,,,,,,,,
minDay,requiredFlags,blockedFlags,prerequisiteEpisodeIds,requiredVars,,,,
0,,,StrangeCoin_2,,,,,
,,,,,,,,
#OPENING_CHARS,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,
sally,blood_tired,-1,,,,,,
,,,,,,,,
#NODES,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,nextNodeIdGood,nextNodeIdBad
0,sally,,... 바텐더... 도와줘!,1,FALSE,,,
1,shaun,,셀리씨?! 이게 무슨... 온몸이 피투성이잖아요!,2,FALSE,,,
2,sally,,걱정마 내 피는 아니니까.,3,FALSE,,,
3,shaun,,누구 피인게 문제가 아니잖아요!,4,FALSE,,,
4,sally,,설명할 시간 없어. 그놈들이… DSM놈들이 쫓아오고 있다고. 나 좀... 아무 데나 숨겨줘. 제발!,5,FALSE,,,
5,shaun,,여기 카운터 아래! 들어가실 수 있으시겠어요?,6,FALSE,,,
6,sally,,"그럼, 신세좀 질게",7,FALSE,,,
7,e12,,허억-허억,8,FALSE,,,
8,e12,,또 뵙네요. 범죄자 션.,9,FALSE,,,
9,shaun,,조-좋은 밤입니다. 손님?!,10,FALSE,,,
10,e12,,모르는 척은 그만두십시오! 방금 여기로 누가 들어오지 않았습니까?,11,FALSE,,,
11,shaun,,"그보다, 12님 팔이 왜 그래요? 괜찮으신가요?",12,FALSE,,,
12,e12,,방금 쫓던 범법자가 이 펍으로 뛰어들어갔단 말입니다!,13,FALSE,,,
13,e12,,말 돌리지 마시고 대답해주십시오!,,FALSE,,,
14_1_1,shaun,,아무도 들어오지 않았습니다.,14_1_2,FALSE,,,
14_1_2,e12,,뻔뻔한 거짓말에 넘어가드리는 것도 한두번 입니다.,14_1_3,FALSE,,,
14_1_3,e12,,피범벅이된 범죄자가 이리로 도망쳐 왔단 말입니다!,15,FALSE,,,
14_2_1,shaun,,다-다른 손님과 햇갈리신거 아닐까요?,14_2_2,FALSE,,,
14_2_2,e12,,영업은 끝난걸로 알고있는데요.,14_2_3,FALSE,,,
14_2_3,e12,,다른 손님이 찾아올 리가 없지 않습니까!,15,FALSE,,,
15,e12,,알겠군요. 같은 범죄자라고 감싸주시는 겁니까?,16,FALSE,,,
16,e12,,당장 수색대를 불러서 펍 전체를…,17,FALSE,,,
17,e12,,전체를…,18,FALSE,,,
18,shaun,,12님…?,19,FALSE,,,
19,shaun,,12님?! 괜찮으세요?!,20,FALSE,,,
20,shaun,,셀리씨? 이제 나오셔도 될것 같은데요…,21,FALSE,,,
21,sally,,으.. 허리야,22,FALSE,,,
22,sally,,술장이라 그런지 술 냄새가 진동하는군,23,FALSE,,,
23,sally,,... ,24,FALSE,,,
24,sally,,뭐야 이거. 고작 그거에 쓰러진거야?,,FALSE,,,
25_1_1,shaun,,셀리씨! 장난하지 마시고 어떻게좀 해주세요!,25_1_2,FALSE,,,
25_1_2,sally,,"하, 알았다고.",25_1_3,FALSE,,,
25_1_3,sally,,빨리 아무 술이나 줘봐. 알콜 도수 높은걸로.,26,FALSE,,,
25_2_1,shaun,,어떻게 하죠? 경찰이라도 부를까요?,25_2_2,FALSE,,,
25_2_2,sally,,"하, 바텐더. 농담도 할 줄 아는군. 술집 문 닫을 일 있어?",25_2_3,FALSE,,,
25_2_3,shaun,,. . .,25_2_4,FALSE,,,
25_2_4,shaun,,그-그래도 이렇게 쓰러지셨는데..!,25_2_5,FALSE,,,
25_2_5,sally,,헤. 됐어. 빨리 아무 술이나 줘봐. 알콜 도수 높은걸로.,26,FALSE,,,
26,shaun,,술로 뭘 어떻게 하시려고요?,27,FALSE,,,
27,sally,,소독하고 지혈이라도 해야지. 이대로 뒀다간 진짜 죽을지도 몰라.,28,FALSE,,,
28,sally,,따끔하게 정신도 좀 차리게 할겸.,29,FALSE,,,
29,,,,,TRUE,sc3_sally,30_1_1,30_2_1
30_1_1,sally,,좋아. 알콜 향이 진동하는군.,30_1_2,FALSE,,,
30_1_2,sally,,이정도면 되겠어.,31,FALSE,,,
30_2_1,sally,,부족해. 더 쌘걸로 다시줘.,31,FALSE,,,
31,sally,,자…그럼 시작해볼까.,32,FALSE,,,
32,e12,,<b>으아아아악!!!</b>,33,FALSE,,,
33,sally,,조용히해. 경찰주제에 호들갑 떨기는.,34,FALSE,,,
34,e12,,다-당신! 아까 도망치던…그 범죄자…,35,FALSE,,,
35,e12,,바텐더! 도와줘! 이녀석이..!,36,FALSE,,,
36,shaun,,"진정하세요, 12님! 도와드리려고 하는 거에요!",37,FALSE,,,
37,e12,,범죄자의 동정 따윈 필요 없습니다. 더러운 손 치우십시오!,38,FALSE,,,
38,sally,,"닥쳐, 네가 쓰러지면 지원 병력이 몰아닥칠 거잖아. 연합놈들 움직이는게 다 거기서 거기지.",39,FALSE,,,
39,sally,,너같이 순진한 놈들 굴려먹다 죽기라도 하면 꼭 남의 탓을 하잖아.,40,FALSE,,,
40,e12,,ㅇ-왜 이런 짓을 하는 겁니까! 원하는게 뭡니까!,41,FALSE,,,
41,sally,,방해되니까 그 입좀 다물고 가만히좀 있으면 좋겠는데.,42,FALSE,,,
42,shaun,,"셀리씨, 뭐가 어떻게 된건가요? 12님 상처는 설마 셀리씨께서…",43,FALSE,,,
43,sally,,다짜고짜 개거품을 물고 달려드는데 당하고만 있으라는 거야?,44,FALSE,,,
44,sally,,저번에 72가 귀띔해줬어. 나랑 내 친구들을 쫓는 놈들이 생겼다고.,45,FALSE,,,
45,sally,,UPD일거라고 예상은 했지만 이런 신참일 줄은 몰랐지.,46,FALSE,,,
46,e12,,72..? 설마 F72선배님을 말하는 겁니까?,47,FALSE,,,
47,sally,,맞아. 녀석 평소 행실을 보면 놀랄것도 없잖아?,48,FALSE,,,
48,e12,,거짓말 하지 마십시오. 아무리 선배님이 라지만 당신같은 범죄자랑 어울릴 분은 아닙니다.,49,FALSE,,,
49,sally,,좋을대로 생각해. 널 살린것도 그 녀석이니까.,50,FALSE,,,
50,e12,,절 살렸다고요?,51,FALSE,,,
51,sally,,. . . 다 됐어.,52,FALSE,,,
52,sally,,피는 멎었어. 곪아 터지기 싫으면 돌아가서 제대로 치료나 받아.,53,FALSE,,,
53,e12,,말 돌리지 말아주십시오. 절 살렸다는게 무슨 뜻이죠?,54,FALSE,,,
54,sally,,"이렇게 치료까지 해줬는데, 고맙다는 말 정도는 해줄 줄 알았는데",55,FALSE,,,
55,e12,,그..그건..,56,FALSE,,,
56,sally,,네가 죽을 필요까지는 없다고 생각했을 뿐이야.,57,FALSE,,,
57,sally,,더러운 어른들 싸움에 너 같은 애송이가 낄 필요는 없잖아.,58,FALSE,,,
58,e12,,"애송이가 아니라, UPD 경비과 소속 E12 입니다.",59,FALSE,,,
59,sally,,와. 방금 그 말 내가 들었던 말중 가장 애송이 같은 말이었어.,60,FALSE,,,
60,e12,,경찰을 모욕하지 마십시오!,61,FALSE,,,
61,e12,,당신같은 범죄자들을 쫓느라 지금도 얼마나 많은 사람들이 애쓰는지 아십니까!,62,FALSE,,,
62,sally,,그럼 쫓지를 말던가.,63,FALSE,,,
63,sally,,"우리가 무슨 극악무도한 테러단체라도 되는 줄 아나 본데, 우린 그저 너희가 버린 쓰레기통에서 숨만 쉬고 있을 뿐이야.",64,FALSE,,,
64,e12,,"하아... 이 펍은 정말 조용할 날이 없군요. 바텐더, 대체 왜 이런 범죄자들과 어울리는 겁니까?",,FALSE,,,
65_1_1,shaun,,펍을 찾는 모두를 환대하는 것이 이 펍의 규칙입니다.,65_1_2,FALSE,,,
65_1_2,shaun,,"어떤 종족이건, 경찰이건, 부랑자건 모두 차별하지 않아요.",65_1_3,FALSE,,,
65_1_3,sally,,"부랑자라 미안하게 됐네, 바텐더.",65_1_4,FALSE,,,
65_1_4,shaun,,그런 뜻이 아닌거 아시잖아요…,65_1_5,FALSE,,,
65_1_5,e12,,틀린 말은 아니죠. 술집은 원래 그런 공간 아닙니까?,66,FALSE,,,
65_2_1,shaun,,범죄자가 아니라 손님입니다.,65_2_2,FALSE,,,
65_2_2,shaun,,그리고 이 모든 모든 일의 시작점은 F72님 이라는걸 기억해주셨으면 좋겠습니다.,65_2_3,FALSE,,,
65_2_3,sally,,틀린 말은 아니네,65_2_4,FALSE,,,
65_2_4,e12,,그-그건 엄연한 순찰의 일환이었습니다!,65_2_5,FALSE,,,
65_2_5,sally,,"순찰 같은 소리하네, 부패경찰에 세상 물정 모르는 신참이라니 UPD도 오합지졸이군.",66,FALSE,,,
66,shaun,,하지만 확실히 손님들이 이렇게 다양했던 적이 없네요.,67,FALSE,,,
67,shaun,,펍에 경찰이 쳐들어온 것도 10년만 인것 같아요.,68,FALSE,,,
68,sally,,10년? 생각보다 오래된 펍이었군.,69,FALSE,,,
69,shaun,,옛날부터 아버지를 따라 펍을 운영했으니까요.,70,FALSE,,,
70,e12,,아버지? 아버님은 어디 계십니까? 이런 위험한 곳을 아들에게 홀로 맡기시다니.,71,FALSE,,,
71,sally,,12. 그런건 함부로 물어보는거 아니야.,72,FALSE,,,
72,shaun,,돌아가셨어요. 얼마 전에요.,73,FALSE,,,
73,sally,,<b>. . .</b>,74,FALSE,,,
74,e12,,<b>. . .</b>,75,FALSE,,,
75,e12,,그게- 그러니까… 유감입니다…,76_2_1,FALSE,,,
76_1_1,sally,,그러니까 네가 어리다는 거야. 누구나 너처럼 평범한 가족을 가지고 있는게 아니거든.,76_1_2,FALSE,,,
76_1_2,sally,,"처음부터 혼자였던 사람도 있고, 소중한 이를 떠나보내고 홀로 남겨진 사람도 많아.",76_1_3,FALSE,,,
76_1_3,e12,,"제가 섣부르긴 했지만, 저에 대해서 다 아는 것 처럼 말씀하시는 건 그만두시죠.",77,FALSE,,,
76_2_1,sally,,"아직 그런 무게를 쉽게 질 수 있는 나이로 보이진 않는데, 유감이야, 바텐더.",76_2_2,FALSE,,,
76_2_2,shaun,,그런 무게는 누구라도 쉽게 질 수 없는 것입니다.,76_2_3,FALSE,,,
76_2_3,shaun,,"호오, 마치 산전수전 다 겪은 양 이야기하는군",76_2_4,FALSE,,,
76_2_4,e12,,"제가 섣부르긴 했지만, 저를 어린애 취급하는건 그만두시죠.",77,FALSE,,,
77,shaun,,"괜찮습니다, 두 분 다. 아버지가 돌아가셨다는 사실이 비밀도 아닌걸요.",78,FALSE,,,
78,shaun,,"아버지가 떠나셨어도 아무것도 변하게 두지 않을거에요. 이 펍도, 사람들도. 저 자신도요.",79,FALSE,,,
79,shaun,,그게 제가 세상을 버티는 방식입니다.,80,FALSE,,,
80,e12,,바텐더님의 아버지 께서는 훌륭한 유산을 남기셨군요. 바텐더 당신을 포함해서요.,81,FALSE,,,
81,e12,,"가족이라는 든든한 토대를 지키고 뜻을 이어가는 건, 연합의 시민으로서 당연한 의무이자 미덕입니다.",82,FALSE,,,
82,sally,,"젠장, <b>대가리 꽃밭</b>이랑 머리가 지끈거려서 못 참겠군. 위로조차 교과서를 읇네.",83,FALSE,,,
83,sally,,"바텐더, 시원하고 차가운걸로 하나 부탁할게.",84,FALSE,,,
84,shaun,,기다리던 바입니다. 바로 대령해 드리죠.,85,FALSE,,,
85,,,,,TRUE,sc3_sally_1,85_1_1,85_2_1
85_1_1,sally,,하아.. 좀 살겠군.,85_1_2,FALSE,,,
85_1_2,sally,,올 때마다 시끄러운 곳이지만 술맛은 최고라니까.,86,FALSE,,,
85_2_1,sally,,…저번엔 맛이 더 괜찮았던것 같은데.,85_2_2,FALSE,,,
85_2_2,sally,,"뭐, 오늘은 이걸로 만족해야겠군.",86,FALSE,,,
86,e12,,<b>. . .</b>,87,FALSE,,,
87,sally,,얘한테는… 그냥 아무거나 줘.,88,FALSE,,,
88,e12,,저도 주문할 줄 압니다!,89,FALSE,,,
89,sally,,"너 술 마셔보긴 한거야? 아니, 마실 수 있는 나이긴 한거야?",90,FALSE,,,
90,e12,,흠흠. 잘 보십시오!,91,FALSE,,,
91,e12,,"<b>바텐더, 네그로니 하나 부탁할게요.</b>",92,FALSE,,,
92,shaun,,저번에 못드린 <b>네그로니</b>. 이번에는 제대로 만들어 드리겠습니다.,93,FALSE,,,
93,,,,,TRUE,sc3_e12,93_1_1,93_2_1
93_1_1,e12,,윽.. 바텐더… 이거 원래.. 이런 맛입니까?,93_1_2,FALSE,,,
93_1_2,sally,,왜? 괜찮아 보이는데?,93_1_3,FALSE,,,
93_1_3,shaun,,"앗, 맛에 문제라도 있나요?",93_1_4,FALSE,,,
93_1_4,e12,,"막 쓰고, 이상하게 달고, 소독약 냄새같은게 난답 말입니다! 위험한걸 탄건 아니시겠죠?",93_1_5,FALSE,,,
93_1_5,sally,,못 살겠군. 그게 술맛이라는 거야 꼬맹아.,94,FALSE,,,
93_2_1,e12,,윽.. 바텐더… 이거 원래.. 이런 맛입니까?,93_2_2,FALSE,,,
93_2_2,sally,,왜? 괜찮아 보이는데?,93_2_3,FALSE,,,
93_2_3,shaun,,"앗, 맛에 문제라도 있나요?",93_2_4,FALSE,,,
93_2_4,e12,,"막 쓰고, 이상하게 달고, 소독약 냄새같은게 난답 말입니다! 위험한걸 탄건 아니시겠죠?",93_2_5,FALSE,,,
93_2_5,sally,,비율이 좀 이상하긴 하네. 그래도 술은 술인걸.,94,FALSE,,,
94,e12,,이게 말입니까? 도대체 이런걸 왜 마시는 겁니까?,95,FALSE,,,
95,sally,,"훗, 너같은 대가리 꽃밭이 알 리가 있나.",96,FALSE,,,
96,sally,,빌어먹을 현실이 알코올보다 훨씬 더 지독하니까 마시는 거지.,97,FALSE,,,
97,shaun,,사람들은 저마다의 방식으로 세상을 버텨내기 마련이니까요.,98,FALSE,,,
98,shaun,,누군가에겐 독한 술 한 잔이 위로가 될 때가 있죠.,99,FALSE,,,
99,sally,,그리고 부상도 덜 아프게 해주지. 그러니까 좀 마셔두라고.,100,FALSE,,,
100,e12,,아직도 이해되지 않습니다. 아프지 않다고 치료되는 건 아니지 않습니까?,101,FALSE,,,
101,sally,,세상에는 치료될 수 없는 상처도 있는 거야.,102,FALSE,,,
102,sally,,"하, 아까 소각장부터 쫓으면서 봤잖아. 내가 무슨 짓을 하면서 살아가는지.",103,FALSE,,,
103,shaun,,소각장이라면… 셀리씨께서 뒤집어쓰신 피는 역시…,104,FALSE,,,
104,sally,,맞아. 오늘도 시체더미에서 쓸 만한 것들을 찾고 있었어.,105,FALSE,,,
105,e12,,불법적인 시신 훼손은 전염병과 데이터 오염을 유발합니다. 그것은 명백한 중범죄...,106,FALSE,,,
106,sally,,"교과서 달달 외우는 소리 좀 그만해. 아무튼, 우리는 그렇게 살아가. 동료들의 시체를 밟아가면서 말이야.",107,FALSE,,,
107,e12,,F72선배님께 들었습니다. 하지만 여전히 납득할 수 없습니다.,108,FALSE,,,
108,e12,,<b>분명 연합은 모두에게 평등한 기회를 줬습니다.</b> 그 기회를 걷어찬 건 당신들의 선택 아닙니까?,109,FALSE,,,
109,e12,,"상처를 치료해주신 건 감사하지만, 그에 대한 답 만큼은 들어야겠습니다.",110,FALSE,,,
110,sally,,"하, 평등이라.",111,FALSE,,,
111,sally,,최소한 난 관리국에 있을 때도 항상 2인분의 일을 해야 했어. 아주 평등하게도 말이야.,112,FALSE,,,
